date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,dyadtype,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win
11/13/13,uv,dc2,ua,ENK,ENK,F,F,FF,same,dc,2,Stable,ua,uv,1,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,0
11/13/13,uv,dc2,ua,ENK,ENK,F,F,FF,same,dc,2,Stable,ua,uv,1,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,0
11/14/13,ur,dp2,fd,PHG,PHG,F,F,FF,same,dp,2,Stable,fd,ur,0,fd,ur,fd_ur,4410,stayed together,0,0.410,PHG,PHG,0
11/14/13,ux,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,ux,0,ob,ux,ob_ux,4410,split apart,0,0.436,PHG,PHG,0
11/18/13,oo,dc1,ux,PHG,PHG,F,F,FF,same,dc,1,Stable,oo,ux,1,oo,ux,oo_ux,4440,split apart,0,0.648,PHG,PHG,1
11/18/13,oo,dt1,ux,PHG,PHG,F,F,FF,same,dt,1,Stable,oo,ux,0,oo,ux,oo_ux,4440,split apart,0,0.648,PHG,PHG,1
11/19/13,oy,dd2,fd,PHG,PHG,F,F,FF,same,dd,2,Stable,fd,oy,0,fd,oy,fd_oy,4335,stayed together,0,0.864,PHG,PHG,0
11/20/13,by,dc1,uv,ENK,ENK,F,F,FF,same,dc,1,Stable,by,uv,1,by,uv,by_uv,4245,stayed together,0,0.534,ENK,ENK,1
11/20/13,by,dp2,uv,ENK,ENK,F,F,FF,same,dp,2,Stable,uv,by,0,by,uv,by_uv,4245,stayed together,0,0.534,ENK,ENK,0
11/20/13,ua,dn1,uv,ENK,ENK,F,F,FF,same,dn,1,Stable,ua,uv,0,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,1
11/21/13,by,dd2,uv,ENK,ENK,F,F,FF,same,dd,2,Stable,uv,by,0,by,uv,by_uv,4245,stayed together,0,0.534,ENK,ENK,0
11/21/13,ua,dp1,uv,ENK,ENK,F,F,FF,same,dp,1,Stable,ua,uv,0,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,1
11/21/13,ua,dp1,uv,ENK,ENK,F,F,FF,same,dp,1,Stable,ua,uv,0,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,1
11/21/13,ua,dt1,uv,ENK,ENK,F,F,FF,same,dt,1,Stable,ua,uv,0,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,1
11/21/13,ua,dt1,uv,ENK,ENK,F,F,FF,same,dt,1,Stable,ua,uv,0,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,1
11/25/13,by,dc2,uv,ENK,ENK,F,F,FF,same,dc,2,Stable,uv,by,1,by,uv,by_uv,4245,stayed together,0,0.534,ENK,ENK,0
11/25/13,qn,dd2,ua,ENK,ENK,F,F,FF,same,dd,2,Stable,ua,qn,0,qn,ua,qn_ua,4305,stayed together,0,0.441,ENK,ENK,0
11/25/13,uv,dc2,ua,ENK,ENK,F,F,FF,same,dc,2,Stable,ua,uv,1,ua,uv,ua_uv,4320,stayed together,0.25,0.178,ENK,ENK,0
11/25/13,uv,dd1,qn,ENK,ENK,F,F,FF,same,dd,1,Stable,uv,qn,0,qn,uv,qn_uv,4305,stayed together,0,0.263,ENK,ENK,1
11/26/13,tr,dt1,oy,PHG,PHG,F,F,FF,same,dt,1,Stable,tr,oy,0,oy,tr,oy_tr,4395,split apart,0,0.653,PHG,PHG,1
11/26/13,tr,dt2,oy,PHG,PHG,F,F,FF,same,dt,2,Stable,oy,tr,0,oy,tr,oy_tr,4395,split apart,0,0.653,PHG,PHG,0
11/26/13,ug,dd1,oy,PHG,PHG,F,F,FF,same,dd,1,Stable,ug,oy,0,oy,ug,oy_ug,4350,stayed together,0,0.167,PHG,PHG,1
11/28/13,qp,dd2,ua,ENK,ENK,F,F,FF,same,dd,2,Stable,ua,qp,0,qp,ua,qp_ua,4230,stayed together,0,0.605,ENK,ENK,0
11/28/13,ua,dd1,by,ENK,ENK,F,F,FF,same,dd,1,Stable,ua,by,0,by,ua,by_ua,4245,stayed together,0,0.712,ENK,ENK,1
11/29/13,oa,dd2,bf,PHG,PHG,F,F,FF,same,dd,2,Stable,bf,oa,0,bf,oa,bf_oa,4380,split apart,0,0.331,PHG,PHG,0
