id,period,sex,group,ageclass,start,destination,strength,ec,bw,degree,N.Agg,Obs.Effort,Agg.Rate,groupsize,dispersals,disperser
by,Stable,f,ENK,adf,ENK,ENK,0.047097987,0.515232599,80,19,54,34.75,1.553956835,small,no,remainer
dz,Stable,f,PHG,adf,PHG,PHG,0.007274011,0.010006224,0,6,20,37,0.540540541,large,yes,remainer
fd,Stable,f,PHG,adf,PHG,PHG,0.019810804,0.096531602,31,15,76,36.75,2.068027211,large,yes,remainer
fx,Stable,f,PHG,adf,PHG,PHG,0.021619099,0.083263273,0,13,61,37.5,1.626666667,large,yes,remainer
o6,Stable,f,PHG,saf,PHG,YNT,0.046831681,0.189964661,0,10,13,14.25,0.912280702,large,yes,disperser
oa,Stable,f,PHG,adf,PHG,YNT,0.054668564,0.156423943,144,22,33,36,0.916666667,large,yes,disperser
ob,Stable,f,PHG,saf,PHG,YNT,0.020827075,0.09280107,69,11,51,36,1.416666667,large,yes,disperser
oo,Stable,f,PHG,adf,PHG,YNT,0.031112534,0.23237341,351,19,61,36.5,1.671232877,large,yes,disperser
oy,Stable,f,PHG,adf,PHG,PHG,0.020827656,0.068631992,179,15,76,35.5,2.14084507,large,yes,remainer
qc,Stable,f,ENK,saf,ENK,ENK,0.072545372,0.812014154,12,14,39,17.5,2.228571429,small,no,remainer
qn,Stable,f,ENK,adf,ENK,ENK,0.074441673,0.904588045,0,17,70,35.75,1.958041958,small,no,remainer
qp,Stable,f,ENK,adf,ENK,ENK,0.055632484,0.639676998,0,9,61,34.5,1.768115942,small,no,remainer
tr,Stable,f,PHG,adf,PHG,YNT,0.034674749,0.076827713,0,10,29,37.75,0.768211921,large,yes,disperser
ty,Stable,f,PHG,saf,PHG,PHG,0.013571767,0.012598824,259,10,56,35.5,1.577464789,large,yes,remainer
ua,Stable,f,ENK,adf,ENK,ENK,0.070796885,0.825256538,47,15,42,36,1.166666667,small,no,remainer
ug,Stable,f,PHG,saf,PHG,PHG,0.041908293,0.073133265,0,16,76,37,2.054054054,large,yes,remainer
uj,Stable,f,PHG,saf,PHG,PHG,0.022612185,0.028067981,211,16,65,24.25,2.680412371,large,yes,remainer
uk,Stable,f,ENK,saf,ENK,ENK,0.057338514,0.648324382,100,16,75,33.5,2.23880597,small,no,remainer
un,Stable,f,PHG,adf,PHG,PHG,0.03847385,0.068639604,72,16,63,36.75,1.714285714,large,yes,remainer
ur,Stable,f,PHG,adf,PHG,PHG,0.040047045,0.090562049,163,17,72,36.75,1.959183673,large,yes,remainer
ut,Stable,f,ENK,adf,ENK,ENK,0.091854899,0.950137286,0,20,53,35.25,1.503546099,small,no,remainer
uv,Stable,f,ENK,adf,ENK,ENK,0.068383386,0.897112342,0,12,69,36,1.916666667,small,no,remainer
ux,Stable,f,PHG,adf,PHG,ENK,0.051290205,0.501624176,45,23,99,37.5,2.64,large,yes,remainer
uz,Stable,f,PHG,saf,PHG,PHG,0.021991963,0.101001298,66,11,37,38,0.973684211,large,yes,remainer
bf,Stable,f,PHG,adf,PHG,PHG,0.045937926,0.123349564,36,18,35,37,0.945945946,large,yes,remainer
by,Dispersal 1,f,ENK,adf,ENK,ENK,0.025737857,0.068681586,7,8,40,15,2.666666667,small,yes,remainer
dz,Dispersal 1,f,PHG,adf,PHG,PHG,0.013612227,0.073622545,0,5,20,16,1.25,large,yes,remainer
fd,Dispersal 1,f,PHG,adf,PHG,PHG,0.116175067,0.192662465,83,18,36,16,2.25,large,yes,remainer
fx,Dispersal 1,f,PHG,adf,PHG,PHG,0.040116392,0.041132177,192,10,25,17,1.470588235,large,yes,remainer
gm,Dispersal 1,f,PHG,saf,PHG,PHG,0.043885936,0.172673299,46,9,33,15.75,2.095238095,large,yes,remainer
o6,Dispersal 1,f,PHG,saf,PHG,YNT,0.053768602,0.382086498,0,9,35,15.5,2.258064516,large,yes,disperser
oa,Dispersal 1,f,PHG,adf,PHG,YNT,0.079162818,0.298405948,91,15,33,17,1.941176471,large,yes,disperser
ob,Dispersal 1,f,ENK,adf,PHG,YNT,0.021350497,0.071306576,4,7,37,16.25,2.276923077,small,yes,disperser
