date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win,relative.size
3/1/14,uk,dt1,ug,ENK,PHG,F,F,different,dt,1,Stable,uk,ug,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,ENK,PHG,1,smaller
3/1/14,uk,dt1,ug,ENK,PHG,F,F,different,dt,1,Stable,uk,ug,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,ENK,PHG,1,smaller
3/1/14,uk,dt1,ug,ENK,PHG,F,F,different,dt,1,Stable,uk,ug,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,ENK,PHG,1,smaller
3/1/14,uk,dt2,ug,ENK,PHG,F,F,different,dt,2,Stable,ug,uk,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,PHG,ENK,0,smaller
3/1/14,uk,dt2,ug,ENK,PHG,F,F,different,dt,2,Stable,ug,uk,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,PHG,ENK,0,smaller
3/3/14,uk,dt2,ug,ENK,PHG,F,F,different,dt,2,Stable,ug,uk,0,ug,uk,ug_uk,4230,never together,0.0625,0.13,PHG,ENK,0,smaller
3/29/14,uz,dt2,qn,PHG,ENK,F,F,different,dt,2,Stable,qn,uz,0,qn,uz,qn_uz,4425,never together,0,0.25,ENK,PHG,0,larger
4/7/14,ur,dn2,uk,PHG,ENK,F,F,different,dn,2,Stable,uk,ur,0,uk,ur,uk_ur,4215,never together,0,0.42,ENK,PHG,0,larger
4/7/14,ur,dt1,uk,PHG,ENK,F,F,different,dt,1,Stable,ur,uk,0,uk,ur,uk_ur,4215,never together,0,0.42,PHG,ENK,1,larger
4/7/14,ur,dt1,uk,PHG,ENK,F,F,different,dt,1,Stable,ur,uk,0,uk,ur,uk_ur,4215,never together,0,0.42,PHG,ENK,1,larger
4/9/14,uk,db2,fd,ENK,PHG,F,F,different,db,2,Stable,fd,uk,0,fd,uk,fd_uk,4215,never together,0,0.83,PHG,ENK,0,smaller
5/1/14,uk,dd2,uz,ENK,PHG,F,F,different,dd,2,Stable,uz,uk,0,uk,uz,uk_uz,4290,never together,0.0625,0.25,PHG,ENK,0,smaller
5/29/14,uk,dt2,ur,ENK,PHG,F,F,different,dt,2,Stable,ur,uk,0,uk,ur,uk_ur,4215,never together,0,0.42,PHG,ENK,0,smaller
6/10/14,by,dn1,ux,ENK,PHG,F,F,different,dn,1,Stable,by,ux,0,by,ux,by_ux,4335,stayed together,0,0.29,ENK,PHG,1,smaller
6/16/14,qc,dc1,ux,ENK,PHG,F,F,different,dc,1,Stable,qc,ux,1,qc,ux,qc_ux,2175,stayed together,0,0.64,ENK,PHG,1,smaller
6/16/14,qc,dp1,ux,ENK,PHG,F,F,different,dp,1,Stable,qc,ux,0,qc,ux,qc_ux,2175,stayed together,0,0.64,ENK,PHG,1,smaller
6/16/14,qc,dt1,ux,ENK,PHG,F,F,different,dt,1,Stable,qc,ux,0,qc,ux,qc_ux,2175,stayed together,0,0.64,ENK,PHG,1,smaller
6/28/14,uv,dn2,ob,ENK,PHG,F,F,different,dn,2,Stable,ob,uv,0,ob,uv,ob_uv,4320,briefly together,0,0.39,PHG,ENK,0,smaller
