date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,dyadtype,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win,s1,d1,s2,d2,relative.size
11/14/13,ux,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,ux,0,ux,ob,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
11/18/13,oo,dc1,ux,PHG,PHG,F,F,FF,same,dc,1,Stable,oo,ux,1,oo,ux,oo_ux,4440,split apart,0,0.648224337,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
11/18/13,oo,dt1,ux,PHG,PHG,F,F,FF,same,dt,1,Stable,oo,ux,0,oo,ux,oo_ux,4440,split apart,0,0.648224337,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
11/26/13,tr,dt1,oy,PHG,PHG,F,F,FF,same,dt,1,Stable,tr,oy,0,tr,oy,oy_tr,4395,split apart,0,0.653324147,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
11/26/13,tr,dt2,oy,PHG,PHG,F,F,FF,same,dt,2,Stable,oy,tr,0,tr,oy,oy_tr,4395,split apart,0,0.653324147,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
11/29/13,oa,dd2,bf,PHG,PHG,F,F,FF,same,dd,2,Stable,bf,oa,0,oa,bf,bf_oa,4380,split apart,0,0.330566213,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
12/3/13,fd,dd1,oo,PHG,PHG,F,F,FF,same,dd,1,Stable,fd,oo,0,fd,oo,fd_oo,4395,split apart,0,0.246412751,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
12/3/13,oa,dd1,uz,PHG,PHG,F,F,FF,same,dd,1,Stable,oa,uz,0,oa,uz,oa_uz,4440,split apart,0,0.356265633,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
12/3/13,uz,dd2,ob,PHG,PHG,F,F,FF,same,dd,2,Stable,ob,uz,0,uz,ob,ob_uz,4440,split apart,0,0.122721893,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
12/5/13,fx,dt1,tr,PHG,PHG,F,F,FF,same,dt,1,Stable,fx,tr,0,fx,tr,fx_tr,4515,split apart,0,0.140330957,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
12/5/13,ob,db1,ux,PHG,PHG,F,F,FF,same,db,1,Stable,ob,ux,0,ob,ux,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
12/5/13,ob,dc1,ux,PHG,PHG,F,F,FF,same,dc,1,Stable,ob,ux,1,ob,ux,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
12/5/13,oo,dp2,bf,PHG,PHG,F,F,FF,same,dp,2,Stable,bf,oo,0,oo,bf,bf_oo,4410,split apart,0,0.351775663,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
12/5/13,oo,dt2,bf,PHG,PHG,F,F,FF,same,dt,2,Stable,bf,oo,0,oo,bf,bf_oo,4410,split apart,0,0.351775663,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
