Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
bf_by,4305,Stable,bf,by,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.25,Sibling,PHG,PHG,ENK,ENK,1.000,0.288,0.712,8/2/00,1/5/99,1.574264203,never together,never
bf_dz,4440,Stable,bf,dz,5.8167,f,PHG,f,PHG,ff,same,0.0013,0.5,Mother-offspring,PHG,PHG,PHG,PHG,1.000,0.753,0.247,8/2/00,1/11/91,9.557837098,stayed together,stayed
bf_fd,4425,Stable,bf,fd,9.2833,f,PHG,f,PHG,ff,same,0.0021,0.0625,Other kin,PHG,PHG,PHG,PHG,1.000,0.895,0.105,8/2/00,11/28/99,0.678986995,stayed together,stayed
bf_fx,4470,Stable,bf,fx,2.6500,f,PHG,f,PHG,ff,same,0.0006,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.824,0.176,8/2/00,11/24/05,5.311430527,stayed together,stayed
bf_o6,1755,Stable,bf,o6,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,1.000,0.144,0.856,8/2/00,11/21/09,9.303216975,split apart,split
bf_oa,4380,Stable,bf,oa,12.3833,f,PHG,f,PHG,ff,same,0.0028,0,Non-kin,PHG,PHG,PHG,YNT,1.000,0.669,0.331,8/2/00,9/14/01,1.117043121,split apart,split
bf_ob,4380,Stable,bf,ob,10.4667,f,PHG,f,PHG,ff,same,0.0024,0,Non-kin,PHG,PHG,PHG,YNT,1.000,0.436,0.564,8/2/00,7/11/08,7.939767283,split apart,split
bf_oo,4410,Stable,bf,oo,13.7500,f,PHG,f,PHG,ff,same,0.0031,0,Non-kin,PHG,PHG,PHG,YNT,1.000,0.648,0.352,8/2/00,4/8/07,6.680355921,split apart,split
bf_oy,4350,Stable,bf,oy,0.5667,f,PHG,f,PHG,ff,same,0.0001,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.030,0.970,8/2/00,4/6/07,6.674880219,stayed together,stayed
bf_qc,2145,Stable,bf,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.125,Aunt-niece,PHG,PHG,ENK,ENK,1.000,0.636,0.364,8/2/00,4/6/10,9.675564682,never together,never
bf_qn,4365,Stable,bf,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.125,Aunt-niece,PHG,PHG,ENK,ENK,1.000,0.559,0.441,8/2/00,5/24/07,6.806297057,never together,never
bf_qp,4290,Stable,bf,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.125,Aunt-niece,PHG,PHG,ENK,ENK,1.000,0.395,0.605,8/2/00,1/23/06,5.475701574,never together,never
bf_tr,4485,Stable,bf,tr,16.9333,f,PHG,f,PHG,ff,same,0.0038,0,Non-kin,PHG,PHG,PHG,YNT,1.000,0.684,0.316,8/2/00,NA,NA,split apart,split
bf_ty,4350,Stable,bf,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.399,0.601,8/2/00,8/6/09,9.01026694,stayed together,stayed
bf_ua,4380,Stable,bf,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,1.000,1.000,0.000,8/2/00,3/19/05,4.62696783,never together,never
bf_ug,4440,Stable,bf,ug,0.8500,f,PHG,f,PHG,ff,same,0.0002,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.197,0.803,8/2/00,10/27/08,8.235455168,stayed together,stayed
bf_uj,3030,Stable,bf,uj,8.4833,f,PHG,f,PHG,ff,same,0.0028,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.254,0.746,8/2/00,4/19/10,9.711156742,stayed together,stayed
bf_uk,4230,Stable,bf,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,1.000,0.067,0.933,8/2/00,2/26/09,8.569472964,never together,never
bf_un,4425,Stable,bf,un,5.4500,f,PHG,f,PHG,ff,same,0.0012,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.101,0.899,8/2/00,11/20/00,0.301163587,stayed together,stayed
bf_ur,4425,Stable,bf,ur,9.0167,f,PHG,f,PHG,ff,same,0.0020,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.484,0.516,8/2/00,8/3/02,2.001368925,stayed together,stayed
bf_ut,4335,Stable,bf,ut,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,1.000,0.183,0.817,8/2/00,2/27/99,1.429158111,never together,never
bf_uv,4380,Stable,bf,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,1.000,0.822,0.178,8/2/00,7/24/07,6.973305955,never together,never
bf_ux,4470,Stable,bf,ux,0.4333,f,PHG,f,PHG,ff,same,9.69425801640567e-05,0,Non-kin,PHG,PHG,PHG,ENK,1.000,0.000,1.000,8/2/00,1/15/07,6.453114305,split apart,split
bf_uz,4500,Stable,bf,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,1.000,0.313,0.687,8/2/00,5/27/08,7.816563997,stayed together,stayed
by_dz,4305,Stable,by,dz,0.0000,f,ENK,f,PHG,ff,different,0.0000,0.5,Mother-offspring,ENK,ENK,PHG,PHG,0.288,0.753,0.465,1/5/99,1/11/91,7.983572895,never together,never
by_fd,4290,Stable,by,fd,6.2667,f,ENK,f,PHG,ff,different,0.0015,0.0625,Other kin,ENK,ENK,PHG,PHG,0.288,0.895,0.607,1/5/99,11/28/99,0.895277207,never together,never
by_fx,4335,Stable,by,fx,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,ENK,ENK,PHG,PHG,0.288,0.824,0.536,1/5/99,11/24/05,6.88569473,never together,never
by_o6,1755,Stable,by,o6,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,ENK,ENK,PHG,YNT,0.288,0.144,0.144,1/5/99,11/21/09,10.87748118,briefly together,briefly
by_oa,4245,Stable,by,oa,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,ENK,ENK,PHG,YNT,0.288,0.669,0.381,1/5/99,9/14/01,2.691307324,briefly together,briefly
by_ob,4245,Stable,by,ob,14.1333,f,ENK,f,PHG,ff,different,0.0033,0,Non-kin,ENK,ENK,PHG,YNT,0.288,0.436,0.148,1/5/99,7/11/08,9.514031485,briefly together,briefly
by_oo,4275,Stable,by,oo,1.0833,f,ENK,f,PHG,ff,different,0.0003,0,Non-kin,ENK,ENK,PHG,YNT,0.288,0.648,0.360,1/5/99,4/8/07,8.254620123,briefly together,briefly
by_oy,4215,Stable,by,oy,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,ENK,ENK,PHG,PHG,0.288,0.030,0.258,1/5/99,4/6/07,8.249144422,never together,never
by_qc,2145,Stable,by,qc,11.3833,f,ENK,f,ENK,ff,same,0.0053,0.5,Mother-offspring,ENK,ENK,ENK,ENK,0.288,0.636,0.348,1/5/99,4/6/10,11.24982888,stayed together,stayed
by_qn,4230,Stable,by,qn,20.7333,f,ENK,f,ENK,ff,same,0.0049,0.5,Mother-offspring,ENK,ENK,ENK,ENK,0.288,0.559,0.271,1/5/99,5/24/07,8.380561259,stayed together,stayed
by_qp,4155,Stable,by,qp,5.9333,f,ENK,f,ENK,ff,same,0.0014,0.5,Mother-offspring,ENK,ENK,ENK,ENK,0.288,0.395,0.107,1/5/99,1/23/06,7.049965777,stayed together,stayed
