Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bf_bt,1230,Fission,bf,bt,0.000,f,PHG,m,PHG,fm,same,0.0000,0.669,1.000,0.331,PHG,PHG,PHG,PHG,stayed together,,
bf_bt,1545,Dispersal 2,bf,bt,0.000,f,PHG,m,PHG,fm,same,0.0000,0.669,1.000,0.331,PHG,PHG,PHG,PHG,stayed together,,
bf_bt,1785,Dispersal 1,bf,bt,0.000,f,PHG,m,PHG,fm,same,0.0000,0.669,1.000,0.331,PHG,PHG,PHG,PHG,stayed together,,
bf_bt,3525,Stable,bf,bt,0.000,f,PHG,m,PHG,fm,same,0.0000,0.669,1.000,0.331,PHG,PHG,PHG,PHG,stayed together,,
bf_eb,960,Stable,bf,eb,0.000,f,PHG,m,PHG,fm,same,0.0000,0.603,1.000,0.397,PHG,PHG,PHG,PHG,stayed together,,
bf_ez,270,Dispersal 1,bf,ez,0.000,f,PHG,m,PHG,fm,same,0.0000,0.115,1.000,0.885,PHG,PHG,PHG,PHG,stayed together,,
bf_ez,3540,Stable,bf,ez,0.000,f,PHG,m,PHG,fm,same,0.0000,0.115,1.000,0.885,PHG,PHG,PHG,PHG,stayed together,,
bf_fh,1230,Stable,bf,fh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.209,1.000,0.791,PHG,PHG,PHG,PHG,stayed together,,
bf_jj,1530,Dispersal 2,bf,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,1.000,0.743,PHG,PHG,ENK,ENK,never together,,
bf_jj,1785,Dispersal 1,bf,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,1.000,0.743,PHG,PHG,ENK,ENK,never together,,
bf_jj,2520,Fission,bf,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,1.000,0.743,PHG,PHG,ENK,ENK,never together,,
bf_jj,3615,Stable,bf,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,1.000,0.743,PHG,PHG,ENK,ENK,never together,,
bf_jy,1575,Dispersal 2,bf,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,1.000,0.439,PHG,PHG,PHG,PHG,stayed together,,
bf_jy,1770,Dispersal 1,bf,jy,0.083,f,PHG,m,PHG,fm,same,4.70809792843691e-05,0.561,1.000,0.439,PHG,PHG,PHG,PHG,stayed together,,
bf_jy,2505,Fission,bf,jy,10.367,f,PHG,m,PHG,fm,same,0.0041,0.561,1.000,0.439,PHG,PHG,PHG,PHG,stayed together,,
