focal,group,groomer.sex,Period,N.Focals,groomee.sex,N.Groom,N.Between,Groom.Duration,Between.Dur,Focal.Min,outcome,Between.Prop,sex.combo
bf,PHG,f,Dispersal 1,68,f,8,0,15,0,1020,non-disperser,0.0000,ff
bf,PHG,f,Dispersal 2,59,f,29,2,46,7,885,non-disperser,0.1522,ff
bf,PHG,f,Fission,138,f,45,19,68,39,2070,non-disperser,0.5735,ff
bf,PHG,f,Stable,148,f,17,0,20,0,2220,non-disperser,0.0000,ff
bt,PHG,m,Dispersal 1,51,f,13,0,20,0,765,non-disperser,0.0000,mf
bt,PHG,m,Dispersal 2,44,f,17,0,37,0,660,non-disperser,0.0000,mf
bt,PHG,m,Fission,29,f,11,0,47,0,435,non-disperser,0.0000,mf
bt,PHG,m,Stable,87,f,2,1,8,2,1305,non-disperser,0.2500,mf
by,ENK,f,Dispersal 1,60,f,1,0,1,0,900,non-disperser,0.0000,ff
by,ENK,f,Dispersal 2,57,f,4,0,9,0,855,non-disperser,0.0000,ff
by,ENK,f,Stable,139,f,19,0,24,0,2085,non-disperser,0.0000,ff
co,PHG,f,Fission,119,f,21,4,36,4,1785,non-disperser,0.1111,ff
cr,PHG,f,Fission,84,f,24,0,29,0,1260,non-disperser,0.0000,ff
dz,PHG,f,Dispersal 1,64,f,8,0,19,0,960,non-disperser,0.0000,ff
dz,PHG,f,Dispersal 2,57,f,8,2,17,4,855,non-disperser,0.2353,ff
dz,PHG,f,Fission,139,f,23,9,51,25,2085,non-disperser,0.4902,ff
dz,PHG,f,Stable,148,f,10,0,17,0,2220,non-disperser,0.0000,ff
ez,PHG,m,Dispersal 1,4,f,1,0,6,0,60,non-disperser,0.0000,mf
ez,PHG,m,Stable,88,f,2,0,1,0,1320,non-disperser,0.0000,mf
fd,PHG,f,Dispersal 1,64,f,18,4,26,5,960,non-disperser,0.1923,ff
fd,PHG,f,Dispersal 2,56,f,21,1,48,2,840,non-disperser,0.0417,ff
fd,PHG,f,Fission,138,f,70,8,131,19,2070,non-disperser,0.1450,ff
fd,PHG,f,Stable,147,f,32,7,41,8,2205,non-disperser,0.1951,ff
fx,PHG,f,Dispersal 1,68,f,2,0,3,0,1020,non-disperser,0.0000,ff
fx,PHG,f,Dispersal 2,59,f,12,0,17,0,885,non-disperser,0.0000,ff
fx,PHG,f,Fission,139,f,21,7,38,13,2085,non-disperser,0.3421,ff
fx,PHG,f,Stable,150,f,30,1,61,13,2250,non-disperser,0.2131,ff
gb,PHG,f,Fission,19,f,8,0,12,0,285,non-disperser,0.0000,ff
gm,PHG,f,Dispersal 1,63,f,34,1,52,1,945,non-disperser,0.0192,ff
gm,PHG,f,Dispersal 2,56,f,22,2,37,3,840,non-disperser,0.0811,ff
gm,PHG,f,Fission,140,f,64,3,104,10,2100,non-disperser,0.0962,ff
gr,PHG,f,Dispersal 2,25,f,3,0,2,0,375,non-disperser,0.0000,ff
gr,PHG,f,Fission,141,f,18,0,38,0,2115,non-disperser,0.0000,ff
gy,PHG,f,Dispersal 2,3,f,6,0,10,0,45,non-disperser,0.0000,ff
gy,PHG,f,Fission,138,f,68,2,112,6,2070,non-disperser,0.0536,ff
jj,ENK,m,Dispersal 1,51,f,11,0,20,0,765,disperser,0.0000,mf
jj,ENK,m,Dispersal 2,43,f,15,0,23,0,645,disperser,0.0000,mf
jj,ENK,m,Fission,4,f,25,8,29,16,60,disperser,0.5517,mf
jj,ENK,m,Stable,93,f,41,0,44,0,1395,disperser,0.0000,mf
jj,YNT,m,Fission,26,f,9,9,10,10,390,disperser,1.0000,mf
jy,PHG,m,Dispersal 1,50,f,1,0,1,0,750,non-disperser,0.0000,mf
jy,PHG,m,Dispersal 2,46,f,23,0,39,0,690,non-disperser,0.0000,mf
jy,PHG,m,Fission,29,f,96,5,108,2,435,non-disperser,0.0185,mf
jy,PHG,m,Stable,89,f,20,0,22,0,1335,non-disperser,0.0000,mf
ky,ENK,f,Dispersal 2,55,f,1,0,7,0,825,disperser,0.0000,ff
ky,YNT,f,Fission,129,f,7,0,13,0,1935,disperser,0.0000,ff
o6,ENK,f,Dispersal 2,55,f,5,0,3,0,825,disperser,0.0000,ff
o6,PHG,f,Dispersal 1,62,f,7,4,15,7,930,disperser,0.4667,ff
o6,PHG,f,Stable,57,f,4,0,1,0,855,disperser,0.0000,ff
o6,YNT,f,Fission,128,f,39,13,68,20,1920,disperser,0.2941,ff
oa,ENK,f,Dispersal 2,56,f,15,7,28,20,840,disperser,0.7143,ff
oa,PHG,f,Dispersal 1,68,f,11,2,22,2,1020,disperser,0.0909,ff
oa,PHG,f,Stable,144,f,32,5,75,9,2160,disperser,0.1200,ff
oa,YNT,f,Fission,128,f,29,11,51,28,1920,disperser,0.5490,ff
ob,ENK,f,Dispersal 1,35,f,6,5,14,14,525,disperser,1.0000,ff
ob,ENK,f,Dispersal 2,55,f,16,7,20,7,825,disperser,0.3500,ff
ob,PHG,f,Dispersal 1,30,f,5,0,16,0,450,disperser,0.0000,ff
ob,PHG,f,Stable,144,f,28,9,46,19,2160,disperser,0.4130,ff
ob,YNT,f,Fission,129,f,35,10,56,20,1935,disperser,0.3571,ff
oe,ENK,m,Dispersal 1,26,f,9,5,11,7,390,disperser,0.6364,mf
oe,PHG,m,Dispersal 1,21,f,13,0,20,0,315,disperser,0.0000,mf
oe,PHG,m,Dispersal 2,45,f,26,5,17,3,675,disperser,0.1765,mf
oe,PHG,m,Stable,89,f,29,3,60,12,1335,disperser,0.2000,mf
oe,YNT,m,Fission,24,f,21,12,41,32,360,disperser,0.7805,mf
oo,ENK,f,Dispersal 1,34,f,7,3,11,7,510,disperser,0.6364,ff
oo,ENK,f,Dispersal 2,53,f,9,5,13,3,795,disperser,0.2308,ff
oo,PHG,f,Dispersal 1,30,f,7,0,14,0,450,disperser,0.0000,ff
oo,PHG,f,Stable,146,f,24,2,32,2,2190,disperser,0.0625,ff
oo,YNT,f,Fission,129,f,33,21,73,37,1935,disperser,0.5068,ff
oy,PHG,f,Dispersal 1,68,f,4,0,9,0,1020,non-disperser,0.0000,ff
oy,PHG,f,Dispersal 2,58,f,5,3,11,5,870,non-disperser,0.4545,ff
oy,PHG,f,Fission,139,f,18,3,46,3,2085,non-disperser,0.0652,ff
oy,PHG,f,Stable,142,f,10,0,16,0,2130,non-disperser,0.0000,ff
oz,PHG,m,Dispersal 1,52,f,7,0,10,0,780,non-disperser,0.0000,mf
oz,PHG,m,Dispersal 2,44,f,20,1,37,3,660,non-disperser,0.0811,mf
oz,PHG,m,Fission,29,f,16,0,16,0,435,non-disperser,0.0000,mf
oz,PHG,m,Stable,78,f,18,0,27,0,1170,non-disperser,0.0000,mf
ph,PHG,m,Dispersal 1,53,f,2,0,4,0,795,non-disperser,0.0000,mf
ph,PHG,m,Dispersal 2,46,f,17,0,51,0,690,non-disperser,0.0000,mf
ph,PHG,m,Fission,28,f,45,1,90,1,420,non-disperser,0.0111,mf
ph,PHG,m,Stable,87,f,6,0,5,0,1305,non-disperser,0.0000,mf
pz,PHG,m,Dispersal 1,50,f,1,0,13,0,750,non-disperser,0.0000,mf
pz,PHG,m,Dispersal 2,43,f,10,0,24,0,645,non-disperser,0.0000,mf
pz,PHG,m,Fission,29,f,31,1,51,7,435,non-disperser,0.1373,mf
pz,PHG,m,Stable,88,f,25,0,51,0,1320,non-disperser,0.0000,mf
qc,ENK,f,Dispersal 1,60,f,27,0,39,0,900,non-disperser,0.0000,ff
qc,ENK,f,Dispersal 2,57,f,27,0,41,0,855,non-disperser,0.0000,ff
qc,ENK,f,Fission,142,f,35,0,65,0,2130,non-disperser,0.0000,ff
qc,ENK,f,Stable,70,f,22,1,59,1,1050,non-disperser,0.0169,ff
qn,ENK,f,Dispersal 1,58,f,37,1,73,1,870,non-disperser,0.0137,ff
qn,ENK,f,Dispersal 2,55,f,30,0,64,0,825,non-disperser,0.0000,ff
qn,ENK,f,Fission,140,f,52,9,108,10,2100,non-disperser,0.0926,ff
qn,ENK,f,Stable,143,f,66,9,122,5,2145,non-disperser,0.0410,ff
qp,ENK,f,Dispersal 1,60,f,19,0,20,0,900,non-disperser,0.0000,ff
qp,ENK,f,Dispersal 2,58,f,14,0,15,0,870,non-disperser,0.0000,ff
qp,ENK,f,Fission,140,f,16,5,18,3,2100,non-disperser,0.1667,ff
qp,ENK,f,Stable,138,f,75,5,107,9,2070,non-disperser,0.0841,ff
qz,ENK,f,Dispersal 2,34,f,12,0,17,0,510,non-disperser,0.0000,ff
qz,ENK,f,Fission,140,f,5,1,4,1,2100,non-disperser,0.2500,ff
s1,ENK,m,Dispersal 1,53,f,13,1,33,6,795,non-disperser,0.1818,mf
s1,ENK,m,Dispersal 2,45,f,10,0,30,0,675,non-disperser,0.0000,mf
s1,ENK,m,Fission,30,f,21,1,36,4,450,non-disperser,0.1111,mf
s1,ENK,m,Stable,92,f,28,5,38,4,1380,non-disperser,0.1053,mf
