id,period,sex,group,ageclass,Shape,start,destination,color,size,strength,ec,bw,degree
by,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.047097987,0.515232599,80,19
jj,Stable,m,ENK,sam2,square,ENK,ENK,#21908CFF,15,0.03434153,0.358257499,0,8
qc,Stable,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.072545372,0.812014154,12,14
qn,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.074441673,0.904588045,0,17
qp,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.055632484,0.639676998,0,9
s1,Stable,m,ENK,adm,square,ENK,ENK,#21908CFF,15,0.084319974,0.946228605,0,13
s3,Stable,m,ENK,adm,square,ENK,ENK,#21908CFF,15,0.006694958,0.099695221,0,2
sn,Stable,m,ENK,adm,square,ENK,PHG,#21908CFF,15,0.012297342,0.117540719,62,8
tp,Stable,m,ENK,adm,square,ENK,YNT,#21908CFF,22,0.096429709,1,0,15
ua,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.070796885,0.825256538,47,15
uk,Stable,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.057338514,0.648324382,100,16
ut,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.091854899,0.950137286,0,20
uv,Stable,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.068383386,0.897112342,0,12
yy,Stable,m,ENK,sam1,square,ENK,ENK,#21908CFF,15,0,0,0,0
by,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.025737857,0.068681586,7,8
jj,Dispersal 1,m,ENK,sam3,square,ENK,ENK,#21908CFF,15,0.02405462,0.044618227,30,5
ob,Dispersal 1,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.021350497,0.071306576,4,7
oo,Dispersal 1,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.025825632,0.095164786,24,8
qc,Dispersal 1,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.035056244,0.072825268,72,8
qn,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.12241157,0.39181081,3,12
qp,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.02565321,0.059324102,103,8
s1,Dispersal 1,m,ENK,adm,square,ENK,ENK,#21908CFF,15,0.021831731,0.053048318,0,5
tp,Dispersal 1,m,ENK,adm,square,ENK,YNT,#21908CFF,22,0.07560678,0.285779807,124,10
ua,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.082708246,0.276316358,41,12
uk,Dispersal 1,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.067000007,0.358380168,3,11
ut,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.08059932,0.297075342,273,18
uv,Dispersal 1,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.083031634,0.274544452,118,11
ux,Dispersal 1,f,ENK,adf,circle,PHG,ENK,#21908CFF,15,0.051604958,0.160083558,170,12
yn,Dispersal 1,m,ENK,adm,square,PHG,YNT,#21908CFF,22,0.072967902,0.407131903,0,8
yr,Dispersal 1,m,ENK,sam3,square,PHG,ENK,#21908CFF,15,0.028462302,0.049604484,0,3
yy,Dispersal 1,m,ENK,sam1,square,ENK,ENK,#21908CFF,15,0.010291851,0.02403128,0,3
by,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.030401841,0.028376456,88,10
jj,Dispersal 2,m,ENK,sam3,square,ENK,ENK,#21908CFF,15,0.015070737,0.012927263,0,2
ky,Dispersal 2,f,ENK,saf,circle,PHG,YNT,#21908CFF,22,0.004181818,0.00414494,0,1
o6,Dispersal 2,f,ENK,saf,circle,PHG,YNT,#21908CFF,22,0.026736553,0.061238444,42,8
oa,Dispersal 2,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.031051729,0.244178977,164,14
ob,Dispersal 2,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.018682438,0.144271541,0,6
oo,Dispersal 2,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.034673345,0.079735468,204,14
qc,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.055584568,0.090664834,60,8
qn,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.065816514,0.104080923,42,11
qp,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.049876861,0.067054277,66,15
qz,Dispersal 2,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.017378043,0.023297238,0,3
s1,Dispersal 2,m,ENK,adm,square,ENK,ENK,#21908CFF,15,0.019300724,0.028278678,94,5
tp,Dispersal 2,m,ENK,adm,square,ENK,YNT,#21908CFF,22,0.034648886,0.047814342,0,6
tr,Dispersal 2,f,ENK,adf,circle,PHG,YNT,#21908CFF,22,0.07062875,0.557442305,60,14
ua,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.106065553,0.174533995,0,12
uk,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.021573861,0.053134449,79,6
ut,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.038631468,0.107221368,60,13
uv,Dispersal 2,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.065173462,0.082157816,208,13
ux,Dispersal 2,f,ENK,adf,circle,PHG,ENK,#21908CFF,15,0.027628019,0.049163891,121,9
yn,Dispersal 2,m,ENK,adm,square,PHG,YNT,#21908CFF,22,0.004234396,0.007251402,0,3
yr,Dispersal 2,m,ENK,sam3,square,PHG,ENK,#21908CFF,15,0.030878249,0.063054109,0,5
yy,Dispersal 2,m,ENK,sam2,square,ENK,ENK,#21908CFF,15,0.048764994,0.094316419,0,4
jj,Fission,m,ENK,sam3,square,ENK,ENK,#21908CFF,15,0.042347568,0.037198301,0,7
qc,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.04250292,0.019113071,0,7
qn,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.05359325,0.084379572,0,11
qp,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.07220052,0.091510047,178,19
qz,Fission,f,ENK,saf,circle,ENK,ENK,#21908CFF,15,0.017304927,0.018858062,68,8
s1,Fission,m,ENK,adm,square,ENK,ENK,#21908CFF,15,0.014189064,0.017129779,0,5
tp,Fission,m,ENK,adm,square,ENK,YNT,#21908CFF,22,0.104518228,0.281495743,48,17
ua,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.05592726,0.072230887,87,11
uk,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.021931849,0.059369868,1,8
ut,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.064664939,0.093696856,118,22
uv,Fission,f,ENK,adf,circle,ENK,ENK,#21908CFF,15,0.048828194,0.062342024,0,11
ux,Fission,f,ENK,adf,circle,PHG,ENK,#21908CFF,15,0.042584654,0.078685264,34,16
yr,Fission,m,ENK,adm,square,PHG,ENK,#21908CFF,15,0.038354908,0.023554372,0,5
yy,Fission,m,ENK,sam3,square,ENK,ENK,#21908CFF,15,0.032813925,0.022826964,0,5
ky,Fission,f,YNT,adf,circle,PHG,YNT,#FDE725FF,22,0.026571849,0.042569702,148,15
o6,Fission,f,YNT,saf,circle,PHG,YNT,#FDE725FF,22,0.017563901,0.036902937,0,8
oa,Fission,f,YNT,adf,circle,PHG,YNT,#FDE725FF,22,0.045956392,0.163241163,86,24
ob,Fission,f,YNT,adf,circle,PHG,YNT,#FDE725FF,22,0.040939818,0.127131369,70,18
oe,Fission,m,YNT,adm,square,PHG,ENK,#FDE725FF,15,0.056726023,0.238573881,0,12
oo,Fission,f,YNT,adf,circle,PHG,YNT,#FDE725FF,22,0.050097202,0.179648378,116,22
tj,Fission,f,YNT,saf,circle,PHG,YNT,#FDE725FF,22,0.006377666,0.019511244,0,3
tr,Fission,f,YNT,adf,circle,PHG,YNT,#FDE725FF,22,0.067720776,0.304718771,55,19
yn,Fission,m,YNT,adm,square,PHG,YNT,#FDE725FF,22,0.01382422,0.01641301,0,6
bt,Stable,m,PHG,adm,square,PHG,PHG,#440154FF,15,0.007890983,0.009552948,0,4
dz,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.007274011,0.010006224,0,6
eb,Stable,m,PHG,sam3,square,PHG,PHG,#440154FF,15,0,0,0,0
ez,Stable,m,PHG,sam1,square,PHG,PHG,#440154FF,15,6.22238738180767e-05,0.00012835,188,2
fd,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.019810804,0.096531602,31,15
fh,Stable,m,PHG,sam2,square,PHG,PHG,#440154FF,15,0,0,0,0
fx,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.021619099,0.083263273,0,13
jy,Stable,m,PHG,sam2,square,PHG,PHG,#440154FF,15,0.017234116,0.020870732,0,7
o6,Stable,f,PHG,saf,circle,PHG,YNT,#440154FF,22,0.046831681,0.189964661,0,10
oa,Stable,f,PHG,adf,circle,PHG,YNT,#440154FF,22,0.054668564,0.156423943,144,22
ob,Stable,f,PHG,saf,circle,PHG,YNT,#440154FF,22,0.020827075,0.09280107,69,11
oe,Stable,m,PHG,adm,square,PHG,ENK,#440154FF,15,0.016924167,0.073060868,0,6
oo,Stable,f,PHG,adf,circle,PHG,YNT,#440154FF,22,0.031112534,0.23237341,351,19
oy,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.020827656,0.068631992,179,15
oz,Stable,m,PHG,sam2,square,ENK,PHG,#440154FF,15,0.034376468,0.04089448,0,5
ph,Stable,m,PHG,sam1,square,PHG,PHG,#440154FF,15,0.001300603,0.001701675,62,4
pz,Stable,m,PHG,adm,square,PHG,PHG,#440154FF,15,0.017638298,0.03165494,0,6
tr,Stable,f,PHG,adf,circle,PHG,YNT,#440154FF,22,0.034674749,0.076827713,0,10
ty,Stable,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.013571767,0.012598824,259,10
ug,Stable,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.041908293,0.073133265,0,16
uj,Stable,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.022612185,0.028067981,211,16
un,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.03847385,0.068639604,72,16
ur,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.040047045,0.090562049,163,17
ux,Stable,f,PHG,adf,circle,PHG,ENK,#440154FF,15,0.051290205,0.501624176,45,23
uz,Stable,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.021991963,0.101001298,66,11
xc,Stable,m,PHG,sam1,square,PHG,PHG,#440154FF,15,0.028832633,0.156171008,0,9
yn,Stable,m,PHG,sam3,square,PHG,YNT,#440154FF,22,0.057630903,0.242570031,0,9
yr,Stable,m,PHG,sam2,square,PHG,ENK,#440154FF,15,0.027060077,0.261144874,0,10
bf,Stable,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.045937926,0.123349564,36,18
bt,Dispersal 1,m,PHG,adm,square,PHG,PHG,#440154FF,15,0.015152583,0.057732636,0,3
dz,Dispersal 1,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.013612227,0.073622545,0,5
ez,Dispersal 1,m,PHG,sam1,square,PHG,PHG,#440154FF,15,0.048405458,0.059050483,0,3
fd,Dispersal 1,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.116175067,0.192662465,83,18
fx,Dispersal 1,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.040116392,0.041132177,192,10
gm,Dispersal 1,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.043885936,0.172673299,46,9
jy,Dispersal 1,m,PHG,sam3,square,PHG,PHG,#440154FF,15,0.025417201,0.04632902,0,3
ky,Dispersal 1,f,PHG,saf,circle,PHG,YNT,#440154FF,22,0.109043771,0.890198984,0,4
o6,Dispersal 1,f,PHG,saf,circle,PHG,YNT,#440154FF,22,0.053768602,0.382086498,0,9
oa,Dispersal 1,f,PHG,adf,circle,PHG,YNT,#440154FF,22,0.079162818,0.298405948,91,15
oe,Dispersal 1,m,PHG,adm,square,PHG,ENK,#440154FF,15,0.044076431,0.057697131,0,7
oy,Dispersal 1,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.006938945,0.023525162,116,5
